IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:0:c4:1091:2d30:3385:15f4,4,1,0.75,263.53,0.00
2606:4700:0:c4:10b3:183a:35bf:ce82,4,1,0.75,263.62,0.00
2606:4700:0:d589:a169:be69:971b:93d8,4,1,0.75,263.72,0.00
2606:4700:0:ef:c2e6:c902:dba3:434d,4,1,0.75,263.77,0.00
2606:4700:0:d565:ae04:1fcd:3c6e:2d0,4,1,0.75,263.87,0.00
2606:4700:0:d589:a169:be50:f3aa:a96d,4,1,0.75,264.07,0.00
2606:4700:0:a6:5c5:aa9d:7929:45eb,4,1,0.75,264.88,0.00
2606:4700:0:d565:4b0c:81c:7a86:8305,4,1,0.75,264.95,0.00
2606:4700:0:d590:912c:ddd:1b59:924a,4,1,0.75,264.97,0.00
2606:4700:0:c4:105e:f1e9:fab3:7ade,4,1,0.75,265.28,0.00
2606:4700:0:d589:a169:bef4:a0ef:144e,4,1,0.75,265.47,0.00
2606:4700:0:d565:aef7:4324:5c9f:59f2,4,1,0.75,266.05,0.00
2606:4700:0:d54b:cb17:69a8:99fa:54bf,4,1,0.75,267.62,0.00
